model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,4.0,3,19801,149,1344,6.79,609,89,37
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,4.0,10,19801,112,1492,7.53,609,150,0
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,8.0,1,19801,287,1170,5.91,350,33,124
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,8.0,3,19801,200,1344,6.79,350,83,37
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,8.0,10,19801,163,1498,7.57,350,105,0
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,1.0,1,19801,510,3038,15.34,774,2,428
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,1.0,3,19801,238,3582,18.09,774,5,156
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,1.0,10,19801,82,4241,21.42,774,144,0
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,2.0,1,19801,533,3038,15.34,641,2,429
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,2.0,3,19801,261,3582,18.09,641,6,157
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,2.0,10,19801,104,4245,21.44,641,118,0
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,4.0,1,19801,568,3038,15.34,368,3,435
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,4.0,3,19801,296,3582,18.09,368,7,163
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,4.0,10,19801,133,4283,21.63,368,83,0
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,8.0,1,19801,615,3038,15.34,275,3,440
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,8.0,3,19801,343,3582,18.09,275,11,168
qwen3_06b,raw,pct,50.0,0.8412,0.8349,50.0,3038,8.0,10,19801,175,4314,21.79,275,75,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,1.0,1,19801,55,0,0.0,1293,294,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,1.0,3,19801,55,0,0.0,1293,294,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,1.0,10,19801,55,0,0.0,1293,294,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,2.0,1,19801,79,0,0.0,797,221,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,2.0,3,19801,79,0,0.0,797,221,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,2.0,10,19801,79,0,0.0,797,221,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,4.0,1,19801,106,0,0.0,417,179,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,4.0,3,19801,106,0,0.0,417,179,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,4.0,10,19801,106,0,0.0,417,179,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,8.0,1,19801,158,0,0.0,373,106,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,8.0,3,19801,158,0,0.0,373,106,0
qwen3_06b,background,abs,0.0,0.0,0.507,100.0,0,8.0,10,19801,158,0,0.0,373,106,0
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,1.0,1,19801,596,3123,15.77,914,2,504
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,1.0,3,19801,284,3747,18.92,914,5,192
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,1.0,10,19801,92,4551,22.98,914,121,0
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,2.0,1,19801,622,3123,15.77,621,2,506
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,2.0,3,19801,310,3747,18.92,621,5,194
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,2.0,10,19801,116,4564,23.05,621,101,0
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,4.0,1,19801,655,3123,15.77,329,3,511
